Year,Rank,Release Group, Worldwide , Domestic ,Domestic %, Foreign ,Foreign %, Origin , Worldwide Adjusted , Domestic Adjusted , Foreign Adjusted 
2000,80,The Watcher," $47,267,829 "," $28,946,615 ",61.20%," $18,321,214 ",38.80%,USA," $83,900,396 "," $51,380,242 "," $32,520,155 "
2000,81,High Fidelity," $47,126,295 "," $27,287,137 ",57.90%," $19,839,158 ",42.10%,USA," $83,649,174 "," $48,434,668 "," $35,214,505 "
2000,82,Dracula 2000," $47,053,625 "," $33,022,767 ",70.20%," $14,030,858 ",29.80%,USA," $83,520,184 "," $58,615,411 "," $24,904,773 "
2000,83,The Gift," $44,567,606 "," $12,008,642 ",26.90%," $32,558,964 ",73.10%,USA," $79,107,501 "," $21,315,340 "," $57,792,161 "
2000,84,Where the Heart Is," $40,863,718 "," $33,772,838 ",82.60%," $7,090,880 ",17.40%,USA," $72,533,099 "," $59,946,787 "," $12,586,312 "
2000,85,Bless the Child," $40,443,010 "," $29,381,494 ",72.60%," $11,061,516 ",27.40%,USA," $71,786,343 "," $52,152,152 "," $19,634,191 "
2000,86,The Art of War," $40,400,425 "," $30,208,599 ",74.80%," $10,191,826 ",25.20%,USA," $71,710,754 "," $53,620,263 "," $18,090,491 "
2000,87,Dancer in the Dark," $40,031,879 "," $4,184,036 ",10.50%," $35,847,843 ",89.50%,USA," $71,056,585 "," $7,426,664 "," $63,629,921 "
2000,88,The Legend of Bagger Vance," $39,459,427 "," $30,919,168 ",78.40%," $8,540,259 ",21.60%,USA," $70,040,483 "," $54,881,523 "," $15,158,960 "
2000,89,Urban Legends: Final Cut," $38,574,362 "," $21,468,807 ",55.70%," $17,105,555 ",44.30%,USA," $68,469,493 "," $38,107,132 "," $30,362,360 "
2000,90,The Original Kings of Comedy," $38,182,790 "," $38,182,790 ",100%,,,USA," $67,774,452 "," $67,774,452 ", $-   
2000,91,Titan A.E.," $36,754,634 "," $22,753,426 ",61.90%," $14,001,208 ",38.10%,USA," $65,239,475 "," $40,387,331 "," $24,852,144 "
2000,92,Return to Me," $36,609,995 "," $32,722,798 ",89.40%," $3,887,197 ",10.60%,USA," $64,982,741 "," $58,082,966 "," $6,899,775 "
2000,93,My Dog Skip," $35,547,761 "," $34,134,641 ",96%," $1,413,120 ",4%,USA," $63,097,276 "," $60,588,988 "," $2,508,288 "
2000,94,The Adventures of Rocky & Bullwinkle," $35,134,820 "," $26,005,820 ",74%," $9,129,000 ",26%,USA," $62,364,306 "," $46,160,331 "," $16,203,975 "
2000,95,American Psycho," $34,266,564 "," $15,070,285 ",44%," $19,196,279 ",56%,USA," $60,823,151 "," $26,749,756 "," $34,073,395 "
